invoice_id,order_id,invoice_date,assigned_to,processed_date,processing_days,amount,has_error,error_type
INV000003,OC000003,2024-02-23 21:49:52.084421,AN001,2024-03-01 21:49:52.084421,7,27967944.31,False,
INV000006,OC000006,2024-02-23 05:10:05.861150,AN007,2024-02-26 05:10:05.861150,3,11369240.23,True,Monto incorrecto
INV000007,OC000007,2024-03-06 04:15:31.328030,AN004,2024-03-13 04:15:31.328030,7,8021531.86,False,
INV000009,OC000009,2024-09-02 02:02:35.865541,AN007,2024-09-06 02:02:35.865541,4,4143320.14,False,
INV000010,OC000010,2024-02-22 21:54:38.968398,AN005,2024-02-28 21:54:38.968398,6,3678356.07,False,
INV000011,OC000011,2024-10-09 12:02:11.952336,AN002,2024-10-14 12:02:11.952336,5,16820196.74,False,
INV000012,OC000012,2024-12-20 03:04:01.320412,AN007,2024-12-23 03:04:01.320412,3,1036221.41,False,
INV000013,OC000013,2024-02-05 20:18:38.452850,AN003,2024-02-07 20:18:38.452850,2,12189847.41,False,
INV000014,OC000014,2024-03-18 16:52:20.145214,AN004,2024-03-22 16:52:20.145214,4,2138109.22,False,
INV000015,OC000015,2024-04-13 03:11:35.875277,AN001,2024-04-18 03:11:35.875277,5,22540332.73,False,
INV000017,OC000017,2024-11-26 02:59:50.772739,AN004,2024-11-30 02:59:50.772739,4,9759446.45,False,
INV000019,OC000019,2024-09-18 02:15:10.492440,AN008,2024-09-21 02:15:10.492440,3,1696267.25,False,
INV000020,OC000020,2024-01-22 13:36:15.851305,AN008,2024-01-27 13:36:15.851305,5,3403197.31,False,
INV000021,OC000021,2024-06-03 11:51:13.269826,AN008,2024-06-05 11:51:13.269826,2,6793978.55,False,
INV000023,OC000023,2024-08-12 06:54:51.720196,AN004,2024-08-15 06:54:51.720196,3,8104986.09,False,
INV000025,OC000025,2024-03-16 20:44:03.524165,AN003,2024-03-20 20:44:03.524165,4,12052947.3,False,
INV000026,OC000026,2024-05-06 07:16:14.789543,AN006,2024-05-12 07:16:14.789543,6,10007625.8,False,
INV000027,OC000027,2024-11-03 12:49:16.324257,AN004,2024-11-09 12:49:16.324257,6,924193.09,False,
INV000029,OC000029,2024-03-08 15:15:50.842358,AN003,2024-03-14 15:15:50.842358,6,9390540.14,False,
INV000030,OC000030,2024-12-27 19:07:28.697631,AN006,2024-12-31 19:07:28.697631,4,7732020.84,False,
INV000031,OC000031,2024-07-30 05:53:58.405043,AN005,2024-08-06 05:53:58.405043,7,1916595.67,False,
INV000032,OC000032,2024-04-28 03:49:23.911127,AN007,2024-05-04 03:49:23.911127,6,20140086.82,False,
INV000036,OC000036,2024-11-22 09:33:41.142015,AN002,2024-11-27 09:33:41.142015,5,6654050.4,False,
INV000038,OC000038,2024-03-14 10:27:00.908560,AN004,2024-03-15 10:27:00.908560,1,37993114.49,False,
INV000039,OC000039,2024-03-18 13:31:17.309669,AN004,2024-03-25 13:31:17.309669,7,6112330.14,False,
INV000040,OC000040,2024-02-25 01:46:34.693132,AN006,2024-03-01 01:46:34.693132,5,8559359.82,False,
