order_id,sku,quantity,unit_price,line_total
OC000001,SKU000084,27,42687.05,1152550.35
OC000002,SKU000135,73,11650.66,850498.18
OC000002,SKU000088,31,4288.98,132958.38
OC000002,SKU000310,73,12870.6,939553.8
OC000003,SKU000189,43,1194.79,51375.97
OC000003,SKU000210,50,1732.54,86627.0
OC000003,SKU000058,97,33203.04,3220694.88
OC000003,SKU000276,95,29058.44,2760551.8
OC000003,SKU000050,18,33035.66,594641.88
OC000003,SKU000149,89,40696.95,3622028.55
OC000003,SKU000153,93,38023.53,3536188.29
OC000003,SKU000016,11,8315.39,91469.29
OC000003,SKU000325,65,46675.21,3033888.65
OC000003,SKU000059,96,33377.96,3204284.16
OC000003,SKU000422,45,22772.02,1024740.9
OC000003,SKU000368,7,3741.35,26189.45
OC000003,SKU000490,13,429.96,5589.48
OC000003,SKU000124,56,28745.8,1609764.8
OC000003,SKU000080,30,3305.02,99150.6
OC000004,SKU000083,77,394.21,30354.17
OC000004,SKU000021,51,48042.87,2450186.37
OC000004,SKU000445,100,17291.99,1729199.0
OC000004,SKU000254,42,10300.71,432629.82
OC000004,SKU000322,4,49042.88,196171.52
OC000005,SKU000335,71,17642.19,1252595.49
OC000005,SKU000126,49,5792.95,283854.55
OC000006,SKU000174,38,31377.28,1192336.64
OC000006,SKU000148,32,20641.09,660514.88
OC000006,SKU000236,92,41605.42,3827698.64
OC000006,SKU000075,10,37208.41,372084.1
OC000006,SKU000415,11,20404.68,224451.48
OC000006,SKU000479,35,18598.18,650936.3
OC000006,SKU000201,20,26874.96,537499.2
OC000006,SKU000263,49,42239.77,2069748.73
OC000007,SKU000126,47,5792.95,272268.65
OC000007,SKU000368,14,3741.35,52378.9
OC000007,SKU000233,12,19996.64,239959.68
OC000007,SKU000064,1,22163.77,22163.77
OC000007,SKU000145,40,45812.03,1832481.2
OC000007,SKU000251,57,20767.77,1183762.89
OC000007,SKU000500,47,42281.96,1987252.12
OC000007,SKU000125,98,17101.23,1675920.54
OC000008,SKU000016,58,8315.39,482292.62
OC000008,SKU000190,72,28339.86,2040469.92
OC000008,SKU000473,72,10669.21,768183.12
OC000008,SKU000491,66,26517.94,1750184.04
OC000008,SKU000489,53,30929.98,1639288.94
OC000008,SKU000499,14,31873.73,446232.22
OC000008,SKU000135,4,11650.66,46602.64
OC000008,SKU000388,12,2041.81,24501.72
OC000008,SKU000003,46,3642.55,167557.3
OC000008,SKU000021,71,48042.87,3411043.77
OC000008,SKU000294,12,20601.84,247222.08
OC000008,SKU000046,77,9050.1,696857.7
OC000008,SKU000278,77,22581.1,1738744.7
OC000008,SKU000315,42,30779.0,1292718.0
OC000008,SKU000300,50,32094.83,1604741.5
OC000009,SKU000283,93,36214.31,3367930.83
OC000010,SKU000412,88,33524.71,2950174.48
OC000010,SKU000046,49,9050.1,443454.9
OC000011,SKU000418,19,45670.16,867733.04
OC000011,SKU000124,9,28745.8,258712.2
OC000011,SKU000490,22,429.96,9459.12
OC000011,SKU000215,56,39361.05,2204218.8
OC000011,SKU000444,36,37315.64,1343363.04
OC000011,SKU000408,54,14452.75,780448.5
OC000011,SKU000068,39,12317.64,480387.96
OC000011,SKU000467,62,28163.06,1746109.72
OC000011,SKU000378,10,4593.45,45934.5
OC000011,SKU000489,47,30929.98,1453709.06
OC000011,SKU000473,33,10669.21,352083.93
OC000011,SKU000221,32,8794.89,281436.48
OC000011,SKU000114,93,4743.36,441132.48
OC000011,SKU000259,81,23041.74,1866380.94
OC000011,SKU000399,64,35318.18,2260363.52
OC000012,SKU000487,39,20678.37,806456.43
OC000012,SKU000238,1,29364.61,29364.61
OC000013,SKU000184,43,44955.54,1933088.22
OC000013,SKU000412,57,33524.71,1910908.47
OC000013,SKU000418,43,45670.16,1963816.88
OC000013,SKU000101,56,17425.47,975826.32
OC000013,SKU000249,84,7863.44,660528.96
OC000013,SKU000486,77,26244.83,2020851.91
OC000013,SKU000421,18,14989.77,269815.86
OC000013,SKU000489,39,30929.98,1206269.22
OC000014,SKU000452,51,33707.64,1719089.64
OC000015,SKU000066,89,40939.33,3643600.37
OC000015,SKU000473,82,10669.21,874875.22
OC000015,SKU000404,63,35274.56,2222297.28
OC000015,SKU000021,74,48042.87,3555172.38
OC000015,SKU000451,32,41757.6,1336243.2
OC000015,SKU000249,42,7863.44,330264.48
OC000015,SKU000152,49,2804.78,137434.22
OC000015,SKU000042,36,2187.26,78741.36
OC000015,SKU000439,51,16473.07,840126.57
OC000015,SKU000270,47,23251.26,1092809.22
OC000015,SKU000281,15,38745.79,581186.85
OC000015,SKU000440,73,35874.21,2618817.33
OC000015,SKU000485,26,36043.65,937134.9
OC000015,SKU000142,76,29942.03,2275594.28
OC000015,SKU000080,70,3305.02,231351.4
OC000016,SKU000446,60,49308.25,2958495.0
OC000016,SKU000327,91,43120.71,3923984.61
OC000016,SKU000034,27,14159.64,382310.28
OC000016,SKU000355,57,41184.64,2347524.48
OC000016,SKU000323,38,3248.72,123451.36
OC000016,SKU000014,89,48452.91,4312308.99
OC000016,SKU000333,9,5219.64,46976.76
OC000016,SKU000473,53,10669.21,565468.13
OC000016,SKU000051,87,43231.21,3761115.27
OC000016,SKU000383,64,20089.02,1285697.28
OC000016,SKU000444,18,37315.64,671681.52
OC000016,SKU000119,82,9657.89,791946.98
OC000016,SKU000189,39,1194.79,46596.81
OC000016,SKU000232,31,44415.74,1376887.94
OC000016,SKU000208,33,18613.47,614244.51
OC000016,SKU000031,85,21965.41,1867059.85
OC000016,SKU000340,20,47478.41,949568.2
OC000016,SKU000488,92,556.16,51166.72
OC000016,SKU000482,55,19054.0,1047970.0
OC000016,SKU000183,49,31931.44,1564640.56
OC000016,SKU000435,10,22803.44,228034.4
OC000016,SKU000276,58,29058.44,1685389.52
OC000016,SKU000218,77,42934.47,3305954.19
OC000016,SKU000287,62,33538.81,2079406.22
OC000016,SKU000199,75,37732.16,2829912.0
OC000017,SKU000091,5,13985.01,69925.05
OC000017,SKU000483,47,12940.61,608208.67
OC000017,SKU000363,90,8642.91,777861.9
OC000017,SKU000033,69,5859.89,404332.41
OC000017,SKU000329,77,37191.05,2863710.85
OC000017,SKU000204,82,31806.66,2608146.12
OC000017,SKU000225,11,32202.7,354229.7
OC000017,SKU000240,14,30060.46,420846.44
OC000018,SKU000374,6,14581.58,87489.48
OC000019,SKU000177,56,8401.6,470489.6
OC000019,SKU000223,14,38923.05,544922.7
OC000019,SKU000474,2,45730.62,91461.24
OC000019,SKU000001,13,6138.11,79795.43
