order_id,order_date,supplier_id,analyst_id,num_skus,total_cost,sale_amount,margin,margin_pct,status,delivery_date
OC000001,2024-12-17 13:52:47.337525,SUP0014,AN007,1,1152550.35,1345495.6,192945.25,16.74,Pending,2024-12-22 13:52:47.337525
OC000002,2024-01-12 23:47:03.150057,SUP0044,AN008,3,1923010.36,2340169.21,417158.85,21.69,Pending,2024-02-05 23:47:03.150057
OC000003,2024-02-20 21:49:52.084421,SUP0013,AN003,15,22967185.7,27967944.31,5000758.61,21.77,Completed,2024-03-13 21:49:52.084421
OC000004,2024-08-31 02:28:16.191648,SUP0009,AN003,5,4838540.88,5694113.88,855573.0,17.68,Pending,2024-09-18 02:28:16.191648
OC000005,2024-12-10 22:17:49.185494,SUP0038,AN003,2,1536450.04,1745975.1,209525.06,13.64,Pending,2024-12-15 22:17:49.185494
OC000006,2024-02-21 05:10:05.861150,SUP0032,AN003,8,9535269.97,11369240.23,1833970.26,19.23,Completed,2024-03-18 05:10:05.861150
OC000007,2024-03-01 04:15:31.328030,SUP0035,AN003,8,7266187.75,8021531.86,755344.11,10.4,Completed,2024-03-06 04:15:31.328030
OC000008,2024-11-02 17:26:00.824686,SUP0044,AN001,15,16356640.27,17214842.48,858202.21,5.25,Pending,2024-11-17 17:26:00.824686
OC000009,2024-08-31 02:02:35.865541,SUP0019,AN003,1,3367930.83,4143320.14,775389.31,23.02,Completed,2024-09-21 02:02:35.865541
OC000010,2024-02-18 21:54:38.968398,SUP0049,AN006,2,3393629.38,3678356.07,284726.69,8.39,Completed,2024-03-01 21:54:38.968398
OC000011,2024-10-06 12:02:11.952336,SUP0035,AN008,15,14391473.29,16820196.74,2428723.45,16.88,Completed,2024-10-23 12:02:11.952336
OC000012,2024-12-16 03:04:01.320412,SUP0026,AN001,2,835821.04,1036221.41,200400.37,23.98,Completed,2025-01-14 03:04:01.320412
OC000013,2024-02-02 20:18:38.452850,SUP0040,AN008,8,10941105.84,12189847.41,1248741.57,11.41,Completed,2024-02-20 20:18:38.452850
OC000014,2024-03-15 16:52:20.145214,SUP0005,AN003,1,1719089.64,2138109.22,419019.58,24.37,Completed,2024-04-10 16:52:20.145214
OC000015,2024-04-09 03:11:35.875277,SUP0019,AN002,15,20755649.06,22540332.73,1784683.67,8.6,Completed,2024-05-05 03:11:35.875277
OC000016,2024-09-26 01:13:10.000205,SUP0040,AN007,25,38817791.58,43870354.91,5052563.33,13.02,Pending,2024-10-16 01:13:10.000205
OC000017,2024-11-22 02:59:50.772739,SUP0022,AN007,8,8107261.14,9759446.45,1652185.31,20.38,Completed,2024-11-30 02:59:50.772739
OC000018,2024-10-01 21:48:56.237149,SUP0009,AN006,1,87489.48,101719.12,14229.64,16.26,Pending,2024-10-28 21:48:56.237149
OC000019,2024-09-15 02:15:10.492440,SUP0026,AN003,5,1549951.49,1696267.25,146315.76,9.44,Completed,2024-10-02 02:15:10.492440
OC000020,2024-01-21 13:36:15.851305,SUP0021,AN003,2,2869690.08,3403197.31,533507.23,18.59,Completed,2024-02-04 13:36:15.851305
OC000021,2024-06-02 11:51:13.269826,SUP0031,AN003,8,6067863.26,6793978.55,726115.29,11.97,Completed,2024-06-19 11:51:13.269826
OC000022,2024-11-27 16:36:38.501920,SUP0003,AN004,2,3311567.81,3796994.64,485426.83,14.66,Pending,2024-12-03 16:36:38.501920
OC000023,2024-08-07 06:54:51.720196,SUP0024,AN006,8,7685969.89,8104986.09,419016.2,5.45,Completed,2024-08-30 06:54:51.720196
OC000024,2024-09-15 06:23:02.676491,SUP0010,AN004,8,8172813.89,8843206.46,670392.57,8.2,Pending,2024-10-02 06:23:02.676491
OC000025,2024-03-14 20:44:03.524165,SUP0004,AN001,8,11415522.18,12052947.3,637425.12,5.58,Completed,2024-03-31 20:44:03.524165
OC000026,2024-05-02 07:16:14.789543,SUP0045,AN001,8,8258848.1,10007625.8,1748777.7,21.17,Completed,2024-05-23 07:16:14.789543
OC000027,2024-10-30 12:49:16.324257,SUP0042,AN008,1,849917.16,924193.09,74275.93,8.74,Completed,2024-11-08 12:49:16.324257
OC000028,2024-09-23 03:20:36.142780,SUP0035,AN002,1,118532.77,127160.89,8628.12,7.28,Pending,2024-10-12 03:20:36.142780
OC000029,2024-03-07 15:15:50.842358,SUP0021,AN001,5,8043971.69,9390540.14,1346568.45,16.74,Completed,2024-03-21 15:15:50.842358
OC000030,2024-12-25 19:07:28.697631,SUP0002,AN001,3,6490963.69,7732020.84,1241057.15,19.12,Completed,2025-01-16 19:07:28.697631
OC000031,2024-07-29 05:53:58.405043,SUP0038,AN005,2,1722570.27,1916595.67,194025.4,11.26,Completed,2024-08-10 05:53:58.405043
OC000032,2024-04-25 03:49:23.911127,SUP0030,AN004,15,17109915.22,20140086.82,3030171.6,17.71,Completed,2024-05-15 03:49:23.911127
OC000033,2024-03-21 04:31:44.666641,SUP0004,AN003,3,1520834.45,1692561.0,171726.55,11.29,Pending,2024-04-12 04:31:44.666641
OC000034,2024-12-10 06:33:17.385324,SUP0040,AN001,1,211298.7,262088.23,50789.53,24.04,Pending,2024-12-17 06:33:17.385324
OC000035,2024-10-13 11:30:58.884147,SUP0042,AN002,2,1620864.0,2014354.37,393490.37,24.28,Pending,2024-10-29 11:30:58.884147
OC000036,2024-11-18 09:33:41.142015,SUP0015,AN001,5,6238947.49,6654050.4,415102.91,6.65,Completed,2024-12-16 09:33:41.142015
OC000037,2024-02-13 14:39:38.402675,SUP0029,AN006,5,3809497.98,4219910.67,410412.69,10.77,Pending,2024-03-05 14:39:38.402675
OC000038,2024-03-10 10:27:00.908560,SUP0037,AN008,25,34242166.39,37993114.49,3750948.1,10.95,Completed,2024-03-27 10:27:00.908560
OC000039,2024-03-17 13:31:17.309669,SUP0032,AN003,5,5597496.82,6112330.14,514833.32,9.2,Completed,2024-04-16 13:31:17.309669
OC000040,2024-02-20 01:46:34.693132,SUP0025,AN008,5,7091610.23,8559359.82,1467749.59,20.7,Completed,2024-03-19 01:46:34.693132
OC000041,2024-08-29 05:21:53.643512,SUP0023,AN005,3,5923932.39,6927277.93,1003345.54,16.94,Completed,2024-09-11 05:21:53.643512
OC000042,2024-09-21 01:03:33.273944,SUP0041,AN007,2,5500337.85,6093640.86,593303.01,10.79,Completed,2024-10-21 01:03:33.273944
OC000043,2024-07-24 23:40:36.419890,SUP0041,AN005,5,8346378.42,10297375.61,1950997.19,23.38,Completed,2024-08-23 23:40:36.419890
OC000044,2024-04-13 12:31:51.383613,SUP0016,AN002,5,5332028.73,5754585.01,422556.28,7.92,Completed,2024-05-12 12:31:51.383613
OC000045,2024-04-30 08:40:01.126384,SUP0026,AN005,3,6509663.76,7020244.85,510581.09,7.84,Completed,2024-05-23 08:40:01.126384
OC000046,2024-04-09 03:16:14.862867,SUP0032,AN008,8,10000219.45,11056694.01,1056474.56,10.56,Completed,2024-04-26 03:16:14.862867
OC000047,2024-01-03 04:36:44.378703,SUP0042,AN001,3,3828383.34,4685104.91,856721.57,22.38,Completed,2024-01-29 04:36:44.378703
OC000048,2024-03-19 21:51:00.411620,SUP0046,AN005,3,5660543.96,6349118.26,688574.3,12.16,Completed,2024-04-16 21:51:00.411620
OC000049,2024-01-30 04:31:25.848702,SUP0025,AN001,3,1603339.66,1842145.86,238806.2,14.89,Completed,2024-02-28 04:31:25.848702
